,title,text,date
0,엘지 휘센 인공지능스스로에어컨(FQ19P7DPAN) 누수현상 해결...,엘지 인공지능스스로에어컨 분해방법은 해 보지 않으면 어렵고 당황스럽지만 막상 해 보면 쉽습니다. 다만 몇 가지 조심해야 할 부분이 있어 정리합니다. 먼저 엘지 휘센 인공기능스스로 에어컨의 전원 플러그는 실외기에서 공급을 받으니 실외기 쪽으로 가셔서 전원 플러글...,2023.08.09.
1,"로보어드바이저 수익률 비교, 인공지능 투자 성과는?",그럼 인공지능인 로보어드바이저와 일반 펀드의 운용 성과는 어땠을까요? 2022년 펀드 운용 성과 2022년 우리나라 국민의 일반펀드 평균... 저도 그렇지만 인공지능이 운용하는 상품을 찾고 계신 분들도 의외로 많습니다. 제가 현재 가입하고 있다는 이야기를 하면 대부분의...,2023.09.26.
2,[종목분석] 의료 인공지능 딥노이드 주가 전망을 살펴봅니다,그 중에서 오늘은 인공지능 딥노이드 주가를 살펴보려고 하는데 해당 종목은 이미 많이 상승한 상태입니다. 그렇다고 버릴 수는... ▣인공지능이란 AI는 Artificial Intelligence의 약자로 인간의 지적능력을 컴퓨터를 통해 구현하는 과학기술입니다. 4차 산업혁명으로 국내 뿐만...,2023.08.30.
3,AI 인공지능 파이토치 서적으로 가볍게 시작해보죠,인공지능이 표면적으로 한풀 꺽였다고는 하지만 관련된 서적과 툴들은 꾸준하게 발전하고 있습니다. 언어모델 개발뿐만 아니랄 이를... 10. 인공지능과 코딩 프로그래밍이라는 단어아래 후끈한 이 시장에 알고 있어야 사람을 구하고 일도 시킬 수 있어서 오늘도 공부를 해야 하네요...,2023.10.02.
4,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망,NPU 관련주 뜻 - 인공지능 구글 텔레칩스 칩스앤미디어 주가 전망 NPU 뜻 NPU 는 Neural Processing Unit 의 약자로서 인간의 신경망을 따라하여 만들어진 인공신경망을 구현할 수 있는 반도체입니다. 인공지능 개발의 핵심적인 역할을 합니다. 컴퓨터의 두뇌는 CPU 로 만들어집니다....,2023.10.09.
5,인공지능에 기반한 신약개발 관련 기업들에 대한 생각,이 글에서는 그동안 단편적으로 언급했던 인공지능에 기반한 신약개발 바이오 기업들에 대한 생각을 간단히 정리하고자 합니다. 오늘... 리커전 파마슈티컬스는 보도자료를 통해 엔비디아 클라우드 서비스를 사용해 인공지능 기반 모델의 개발을 가속화할 것이라고 밝혔고...,2023.07.13.
6,인공지능(AI)이 인간의 일자리를 감소시킬 것인가?,"인공지능이 인간의 일자리를 대체? 이 질문은 최근에 사람들의 관심을 끌며 치열한 논쟁을 일으키고 있습니다. ChatGPT, Bard 및 Mindjourney와... 감성지능 수준이 부족하다고 주장합니다. 일부 낙관론자들은 AI가 특정 역할에서 인간의 능력을 향상시킬 수는 있지만 대체할 수는 없다고...",2023.07.13.
7,"태양광 발전소 고장, 인공지능이 물샐틈없이 관리한다!","한국에너지기술연구원 신재생시스템연구실 고석환 박사 연구진은 인공지능(AI)을 활용한 태양광 발전 고장 진단 기술을 개발했습니다. 10년 이상 태양광발전소 고장진단평가를 수행하며 수집한 I-V곡선* 정보를 데이터베이스화하고, 모델을 적용해 현장에 가지 않고도...",2023.10.10.
8,인공지능 AI 스피커 삼성 갤럭시 홈미니 기능,"버들붕어입니다.^^ 이버 시간에는 인공지능 AI 스피커 삼성 갤럭시 홈미니 기능에 대해 자세하게 알아보도록 하겠습니다. 해당 제품은... 사진출처: Samsung 온라인 몰을 이용한 최저가 금액으로는 7만 원대에 AI 인공지능 스피커 구매할 수 있으며, 앞서 말한 거와 같이 MINI...",2023.09.04.
9,AI인공지능 관련주 산업의 발달은 기계가 하게되는걸까,"언젠가부터 로봇에관련된 산업들이 다시금 발전을 하고 주목을 받고있으며, 챗gdp라는 기능이 도입이 되면서 AI인공지능에 관련된... AI인공지능 관련주 주가 단순하게 생각을 해보면 일상생활을 하면서 영향을 줄수있는 산업들에도 많이 분포가 되어있겠지만, 우리들이 모르고있는...",2023.09.05.
10,인공지능 AI 관련주 26종목 모음집,"*엑셈 데이터베이스 관리 기업으로 인공지능 기반 IT 운영 지능화 솔루션인 싸이옵스를 출시했음. *트루엔 인공지능 영상 솔루션... *마음AI 자체 보유한 기술을 조합해 AI 앱, AI 상담원 등 인공인간 서비스를 운영하고 있음. 삼성전자와 신한은행 등을 핵심 고객사로 보유하고...",2023.10.09.
11,"[주간경제동향] 무선통신 경제성장 분석 (인공지능,6g)","지금까지 인공지능 6G관련 무선통신 경제에 대해 살펴봤습니다. 이 산업에 필요한 건 초성능, 초대역, 초공간, 초정밀 및 지능입니다. 10년 단계로 발달하는 이동통신 기술이 전 산업과 사회에서 인프라를 형성하려면 다양한 통신요구를 만족해야 할 겁니다. 5G에서 볼 수 없었던...",2023.10.10.
12,빙 챗gpt 쓰려면 엣지 브라우저로! 너만 몰라 인공지능 팁,"너만 몰라 인공지능 팁 by 엔돌슨 2023. 6. 30. 빙 챗gpt 쓰려면 엣지 브라우저로! 너만 몰라 인공지능 팁 응 너만 인공지능 쓸줄 몰라! 그래서 쉽게 Microsoft Edge 브라우저에서 ChatGPT를 이용하는 방법에 대해서 설명하려고 합니다. 챗봇, AI에 대한 디지털 가이드가...",2023.06.30.
13,(12편) : 인공지능과 로보틱스 (Artificial Intelligence...,com 지난시간에는 미국의 인플레이션 감축 법안 (Inflation Reduction Act)에 대해서 알아보았는데요 이번 시간에는 최근에 시장을 뜨겁게 달군 인공지능 및 로보틱스 테마에 대해서 알아보겠습니다. 코로나를 겪으면서 여러 산업에서 (AI)과 로봇은 모든 규모의 기업이...,2023.08.02.
14,"적금 가입 vs 펀드 투자, 인공지능이 운용하는 콴텍 수익률과...",저는 작년부터 인공지능이 주식을 매매해주는 '콴텍'에 돈을 넣어 운영하고 있습니다. 다른 이유는 없습니다. 그냥 수익률이... 개설된 증권사 계좌에 입금하면 인공지능이 자동으로 매매를 시작합니다. 돈을 찾을 땐 콴텍 앱에서 상품을 해지하면 보유한 주식을 환매해 증권사...,2023.07.03.
15,[테마주분석] 의료기기와 ai 인공지능 의료용로봇 관련주 정리,"다섯 번째 셀루메드 사업부문 - 의료기기와 바이오로직스, 코스메슈티컬 의료기기 - 탈회골, 합성고분자 무릎연골 연구개발 무릎인공관절 전치환술에 세루메드의 첨단 로봇을 사용하고 있다고 합니다. 지금까지 의료기기와 의료용로봇 관련주들을 알아봤습니다....",2023.08.29.
16,‘상품 들고 나오면 자동 결제’...인공지능(AI) 스마트 편의점,출처=GS리테일 GS25가 사람 없이 인공지능(AI) 솔루션 만으로 운영되는 스마트 편의점 'GS25 DX 랩(LAB) 가산스마트점'을 오픈했습니다. 서울... 출처=이마트24 지난 1월부터는 신세계아이앤씨의 ‘스파로스 인공지능(AI) 수요예측’ 시스템을 도입해 이전에 1시간 이상 소요됐던 발주...,2023.10.10.
17,미국주식 엔비디아 주가 500달러 돌파 - 인공지능 챗GPT 관련주,"챗GPT 로 대변되는 생성형AI 인공지능의 최대 수혜주로 꼽히는 엔비디아가 2분기 실적을 발표했습니다. 예상보다 훨씬 상회하는... 당연하게도 인공지능용 AI 반도체 수요가 급증했기 때문입니다. 이런 추세는 3분기에도 지속될 것이며, 올해 내내 엔비디아의 실적에 영향을...",2023.08.24.
18,AI 인공지능 데이터 라벨링으로 수익 창출하는 법 (+무료교육...,"AI 인공지능 데이터 라벨링으로 수익 창출하는 법 (+무료교육 선착순 한정) 안녕하세요. 사진&IT 크리에이터 자유분방입니다. 올해 초 Chat GPT가 출시가 되면서, 인공지능 (AI)에 대한 관심도도 상당 부분 올라갔습니다. 그렇다 보니, 관련 직군들이 주목을 받고 있는데요....",2023.10.19.
19,인공지능 OpenAI 해커톤 개발 공모전 SK 텔레콤...,해커톤은 해킹과 마라톤이 합성된 말로 일정 시간 내에 주제에 맞는 서비스를 기발하는 공모전을 뜻하는데요~ 이번에 SK 텔레콤에서 인공지능 OpenAI 개발 공모전인 Prompter Day Seoul 2023 행사가 있어 소개를 해드리려 합니다. Prompter Day Seoul 2023 기술의 발달로...,2023.08.24.
20,"신약 개발의 벽을 넘기 위한 도약, 인공지능 기반 신약 개발","인공지능의 도입으로 약효를 결정하는 분자의 단순 스크리닝 과정을 효율화하고, 예상되는 문제를 사전에 예측해 신약 개발 성공 확률을... 부족한 자본을 보완하는 기술력, 인공지능의 도입 사람의 노동력으로 진행되었던 지점을 으로 대체해 효율을 높일 수 있다. 자본이...",2023.09.18.
21,AI 프로필 수면분석 통화요약 어플 SKT 에이닷 인공지능 기능,인공지능 에이전트 서비스 SKT A.(에이닷)이 정식 출시되었습니다. 주목할 만한 신기능들도 업데이트가 되었는데요. 수면분석 도우미 A.... AI 모션프로필 AI 모션프로필은 내 사진을 업로드하면 인공지능이 알아서 멋진 AI 프로필 이미지를 만들어주는 기능입니다. A.(에이닷)어플...,2023.09.30.
22,"(글로벌교육과) 인공지능 시대, 공공 인재개발 전략은?","인공지능 혁신 시대에 대응하는 공직 인재개발 체계(패러다임)를 논하는 자리가 마련됩니다. 국가공무원인재개발원(원장 김채환, 이하... ‘인공지능(AI) 혁신 시대에 대응하는 공직 인재개발 체계(패러다임)’를 주제로 열리는 올해 학술대회는 관심 있는 누구나 유튜브...",2023.10.20.
23,인공지능을 이용한 산불 감시 시스템,"최근에는 인공지능을 적용하려는 시도가 이어지고 있습니다. 관련 스타트업 가운데 하나인 파노 AI (Pano AI)는 이미 캘리포니아, 오레건, 콜로라도, 워싱턴, 아이다호, 몬태나 주에서 240만 헥타르의 숲을 감시하고 있습니다. 최근 파노 AI는 화재...",2023.08.08.
24,엔잡러가 원하는 인공지능 직업 데이터라벨링...,인공지능(AI)은 주입된 수많은 데이터를 통해 학습을 하며 이때 제공받는 데이터는 인공지능이 학습할 수 있도록 가공된 형태죠. 여기서 가공을 데이터 전처리 작업이라고 표현할 수 있는데 이것이 바로 데이터 라벨링이라고 이해하시면 됩니다. 최근에는 챗GPT가 화제가 되고...,2023.07.18.
25,"네이버 AI 큐(Cue:), 이제 특화된 대화형 인공지능!",네이버 AI 클로바X가 서비스된지 얼마 되지 않았는데 네이버에서 추가로 새로운 인공지능 서비스가 시작되었습니다. 바로 네이버 AI 큐(Cue... 기존 검색 사이트를 이용하는 방식과 달리 인공지능으로 원하는 정보를 좀 더 빠르게 확인할 수 있어 맘에 드네요. 앞으로의 새로운...,2023.10.04.
26,윈도우 코파일럿 미리사용해본 AI 인공지능 기능! 윈도우 11...,얼리어답터 리뷰/IT정보 윈도우 코파일럿 미리사용해본 AI 인공지능 기능! 윈도우 11 23H2 프리뷰 코파일럿 사용법 by 엔돌슨 2023. 10. 5. 윈도우 코파일럿의 기능과 사용법 리뷰 이번에는 윈도우11에 내장된 윈도우 코파일럿 입니다. 챗GPT 같은 을 윈도우에서 직접...,2023.10.05.
27,"[관심종목] 23년 마지막 주목받을 인공지능,반도체 산업주식 종목","23년 8월에서 12월까지 남은 5개월을 장식할 인공지능,반도체 산업주식 종목에는 뭐가 있을까? 주식은 상황과 여건에 따라 빛나는 종목이 있습니다. 올해 초부터 인공지능에 강세를 보였고 2차전지가 중심에 있었습니다. 그리고 2차전지와 관련된 에코프로가 빛을 받았죠. 그렇다면...",2023.08.06.
28,AI 인공지능 관련주 대장주 TOP2!,"AI 인공지능 관련주 대장주 TOP2! 주식 쉽게 하는 팁까지 공유! 오후에는 아직까지도 무더운데, 오전에는 날씨가 선선하니 좋네요. 곧... 오늘은 향후 기대되는 섹터 중 하나인, AI 인공지능 관련주와 대장주를 한 번 살펴 볼께요. AI 관련주 대장주 TOP2! © vishnumaiea...",2023.09.10.
29,등 인공지능이 자동으로 기록해 주는 클로바노트 녹음하는 방법...,"회의, 인터뷰, 강의 등 인공지능이 자동으로 기록해 주는 클로바노트 녹음하는 방법입니다. 업무를 향상시켜주는 필수 어플 - 회의, 인터뷰, 강의 등 인공지능이 자동 기록해 주는 클로바노트로 녹음하는 방법 클로바 노트 회의, 인터뷰, 강의 등 녹음 내용을 눈으로 보면서 듣는...",2023.10.01.
30,"천안시, 빅데이터 기반 인공지능 활용 도시기본계획 수립 추진",빅데이터 기반 인공지능 활용 2040 도시기본계획 수립용역 착수 안녕하세요. 천안시입니다. 천안시가 빅데이터 기반 인공지능을 활용한 ✔️2040 도시기본계획 수립에 본격 착수합니다. 이에 따라 국토연구원과 11개 민간기업이 참여하는 ‘국토도시 빅데이터 얼라이언스 협약’...,2023.10.19.
31,네이버 생성형인공지능 클로바X(CLOVA X) 사용후기,네이버 생성형인공지능 클로바X(CLOVA X) 사용후기 New Tech/AI(인공지능) by 마켓캐스트 2023. 9. 8. 13:59 공감 네이버 생성형인공지능 클로바X(CLOVA X)의 사용승인이 되어서 오늘 여러가지 내용으로 테스트를 해봤는데 결론적으로 너무나 실망스러운 결과 였습니다. 질문: 네이버에서...,2023.09.08.
32,열(熱)의 꿈틀거림까지 감시한다! ‘인공지능 열화상 카메라’,"[이 주의 조달청 혁신제품] 재난 예방 혁신제품 해외수출 ③ 인공지능 열화상 카메라 ‘조달청 혁신제품’을 아시나요? 공공성과 기술성이... ‘인공지능 열화상 카메라’ 미국 역사상 최악의 재해로 남은 하와이 마우이섬의 산불, 한국보다도 넓은 면적을 태워버린 캐나다의 산불에...",2023.08.23.
33,AI 관련주 의료 인공지능 루닛·제이엘케이 등 주식 주가 간단...,"16%) 2023년 8월 9일 10:30 현재가 라이프시맨틱스(347700) 주가 일봉 차트 브리지텍(064480) 브리지텍(064480)은 AI(인공지능) 콜센터와 음성인식/화자인증, 보이는ARS, IP기반의 유무선(지능망서비스, 무선이동통신) 멀티미디어 서비스 관련 소프트웨어를 개발...",2023.08.09.
34,인공지능 교육 - 23년 AI 교육과정 특화 맞춤형 교육생 모집,인공지능 교육 - 23년 AI 교육과정 특화 맞춤형 교육생 모집 안녕하세요. 취업비서 인크루트 입니다. 오늘 소개해드릴 인공지능 교육 - 23년 AI 교육과정 특화 맞춤형 교육은 AI 분야 일자리에 대한 직무.직군 분석을 바탕으로 개발된 AI 커리어맵을 기반으로 교육생별 직무설계...,2023.09.11.
35,국내 AI 인공지능 관련주 대장주 의료 반도체 챗GPT 종목 소개...,국내 AI 인공지능 관련주 대장주 의료 반도체 챗GPT 종목 소개 및 현황 정리 최근 국내 증시는 테마주들이 이끌고 가고 있다고 해도 무방한 상황입니다. 그리고 현재 이러한 손바뀜이 현상이 계속 이어지고 있는 가운데 다시 국내 AI 관련주들이 관심을...,2023.09.04.
36,인공지능을 이용해서 유방암 조기 진단률을 높인다.,"Credit: Public Domain) 인공지능 붐 초기 응용이 크게 기대되던 분야 중 하나는 의료입니다. 사람들은 AI 의사가 질병의 진단과... 있는 인공지능을 개발했습니다. ScreenTrustCAD 연구에서 연구팀은 2021년 4월에서 2022년 6월까지 40-74세 사이 여성 55,500명의 유방...",2023.09.17.
37,인공지능(AI) 디지털교과서 법적 지위를 얻다,"이번 개정안에는 인공지능(AI) 디지털교과서가 차질 없이 개발되고 학교 현장에서 안정적으로 사용될 수 있도록 디지털 교과서의 정의, 검정 절차별 필요 사항을 담았다. 즉, 디지털교과서를 지능정보화 기술을 활용한 학습지원 소프트웨어로 정의하고, 기술결함 조사 및 기술...",2023.10.17.
38,안드로이드앱제작 인공지능을 이용해서 저렴하고 빠르게...,2023년은 인공지능의 해 인것 같습니다. 2022년의 메타버스에 대한 이야기는 2023년이 되서 거짓말처럼 완전히 사라져서 잘 보이지도 않는 것 같아요. 그 정도로 요즘 인공지능의 발전이 눈이 부실 정도로 빠르게 진행이 되고 있습니다. 챗GPT가 출시한지 얼마 되지도 않았는데 벌써...,2023.06.08.
39,[종목분석] 인공지능 ai 테마주에는 어떤 것들이 있을까,오늘도 많은 분들이 알지 못하고 자료를 찾아야 하는 시간을 덜어드리기 위해 올해 대세로 떠오른 인공지능 ai 테마주의 종목들을 정리하겠습니다. 일일히 찾아다닐 필요 없이 오늘 소개해드리는 종목들을 보고 분석하시면 됩니다. ai 테마주 모음 종목(관련 테마)...,2023.08.21.
40,"인공지능 A.(에이닷) 앱, AI 친구 대화와 챗GPT 사용법","SK텔레콤의 인공지능 에이전트 서비스 A.(에이닷) 앱이 새롭게 업데이트되었습니다. '내 손안에 AI 친구'라는 슬로건에 맞춰 추가된 기능이 눈길을 끄는데요. 감성대화가 가능한 A.프렌즈, 챗GPT 기반의 지식 대화 기능 채널인 챗T가 바로 그 주인공입니다. 과연 어떤 대화를 나눌 수...",2023.07.22.
41,인공지능 AI가 글 써 주는 시대,"어제 네이버에서 한국형 초대형 인공지능(AI) 서비스라고 하는 '하이퍼클로바X'를 공개했는데, 이를 활용하여 글쓰기를 할 블로거를... ※ 이미지 출처 : 네이버 검색 인공지능 클로바를 블로그에도 도입할 생각인가 보다. 그동안 작성한 글을 바탕으로 관심사나 문체 등을 분석하여...",2023.08.25.
42,송도국제도시에 'AI(인공지능) 교육센터'만든다,송도 3공구 G5 부지 내 근린공원에 인공지능 교육센터를 유치하려나 봅니다. 아직 G5 분양계획에 대한 이야기가 없는 가운데 갑자기 공원 내... 인공지능 교육센터 위치 아래는 그동안 모아두었던 G5 부지에 대한 다양한 청사진과 자료들입니다. G5 부지의 아파트가 언제쯤이면 분양을...,2023.09.07.
43,[ChatGPT 활용] 챗GPT에 달리3(DALL-E3) 인공지능(AI) 이미지...,[챗GPT 사용법] ChatGPT 완전정복(기본편) 출간 ChatGPT-4에 인공지능(AI) 이미지 생성 기능이 추가되었습니다. ChatGPT와 바드(Bard)가 경쟁하듯... 간단히 인공지능 로봇을 그려 달라고 해보겠습니다. 생각하고 있는 로봇을 그려줘 ChatGPT는 달리-3을 이용해 4개의 이미지를...,2023.10.07.
44,230526 # 미국 #증시 #엔비디아 #NVDA #인공지능 #AI 테마의...,"#엔비디아 #NVDA #인공지능 #AI 테마의 마무리 국면 미국은 통화 긴축 정책에 따라 소비가 줄고 기업이 감소하며, 기업의 이익이 줄어드는 가운데 chatGPT 붐에 힘입어 인공지능 테마 장세가 전개된 것으로 보인다. 이에 따라 과 관련된 대기업을 제외한 모든 산업이 약세를...",2023.05.26.
45,UPS 인공지능을 활용하여 택배 도난방지를 예방하다.,"UPS 인공지능을 활용하여 택배 도난방지를 예방하다. New Tech/AI(인공지능) by 마켓캐스트 2023. 10. 9. 08:30 공감 Security.org의 최근 연구에 따르면 지난 2022년 동안 약 4,900만 명의 미국인이 최소 한 번 이상 택배 도난을 경험했다. 이러한 상황에서 도난당한...",2023.10.09.
46,챗 GPT 앱 인공지능 시대에 아이폰 chatGPT 필수 어플,"얼리어답터 리뷰/어플(App) 챗 GPT 앱 인공지능 시대에 아이폰 chatGPT 필수 어플 by 엔돌슨 2023. 6. 20. 챗 GPT 앱 인공지능 시대에 아이폰 chatGPT 필수 어플 챗gpt 앱은 채팅형 인공지능 서비스입니다. 챗GPT 앱으로 아이폰, 안드로인드 스마트폰에서 쉽게 서비스를 이용할 수...",2023.06.20.
47,"인공지능 누끼따기 사이트, 스테이블 디퓨전 클립드롭",인공지능 이미지 생성 사이트 스테이블 디퓨전 클립드롭의 여러 기능 중 누끼따기를 보여드릴 텐데요. 오늘 소개해 드릴 누끼따기... ▲ 클립드롭 사이트인데 메인 화면에 포함된 프롬프트 입력 창을 활용하면 인공지능 이미지를 생성해 볼 수 있습니다. 소개해 드릴...,2023.07.15.
48,국내 AI 인공지능 관련주 한화에어로스페이스 네패스 등 투자...,"임플란트사업부문은 인공관절보형물인 임플란트 판매하고 있으며, 무역사업부문은 식품원료를 수입하여 판매하고 있음.... 38% ■국내 AI 인공지능 관련주 포인트 큐렉소는 의료 로봇과 지능형 로봇 개발 사업을 영위하고 있기 때문에 현재 관련주로 수혜를 받고...",2023.08.14.
49,심장 판막 질환을 찾아내는 인공지능,"인공지능 붐 초기에 의료용 인공지능에 대한 관심이 높았지만, 당시 기술적 한계와 더불어 인공지능에 대한 이해 부족으로 실제 의료 현장에서 크게 활용되지는 못했습니다. 최근에는 진단 목적으로 인공지능의 활용도가 주목 받고 있는데, CT, MRI, X선...",2023.10.19.
50,통신사의 생성형 인공지능(AI) 서비스,"생성형 인공지능(AI)과 관련한 기술을 개발하고, 이를 서비스에 적용하고 있습니다. KT는 자체 개발한 초거대 AI '믿음'을 다음달 공개할 예정이며, SKT는 생성형 AI 시장 공략을 위한 멀티 LLM 전략을 추진하고, LG유플러스는 메타버스와 광고 제작에 을 활용하고...",2023.09.04.
51,[종목분석] 국내 인공지능 ai 대장주 루닛 주가전망과 사우디...,지난 달 5일 의료 인공지능 ai 기업 루닛은 사우디아라비아 국가전략사업의 핵심과제 SEHA가상병원 프로젝트에 참여했습니다. 여기서... 특히 가상병원 프로젝트는 보건의료분야 최우선 과제로 이번에 참여한 인공지능 AI 의료기기를 중심으로 하는 루닛이란 기업에 좋은...,2023.08.31.
52,"크라우드웍스 코스닥 상장(인공지능, AI 학습데이터 전문기업)...",인공지능 AI 학습데이터 전문기업 크라우드웍스 한국거래소는 2023년 8월 29일 주식회사 크라우드웍스의 코스닥 시장 합병 상장을... 인공지능 대표 기업으로 상장 첫날부터 관심을 받고 있네요. 크라우드웍스는 2017년 설립한 (AI) 데이터 스타트업으로 데이터...,2023.08.31.
53,메타 다중언어 번역 인공지능 모델 심리스(Seamless) M4T 출시,"메타에서 심리스(Seamless) M4T라는 멀티 모달 인공지능 모델을 발표했습니다. 모델의 이름에서 M4T의 의미는 대규모 다국어 및 멀티... © steve_j, 출처 Unsplash 다중언어 번역 인공지능 멀티 모달은 두 개 이상의 다른 언어를 인식하고 이해 가능한 수단인 모달리티(Modality)를...",2023.09.24.
54,40개의 엔트리 게임 인공지능 게임 만들기 ft 앤써북,오늘은 엔트리를 이용해서 40개의 게임을 만들면서 인공지능 요소를 넣어서 프로그램 코딩하는 책을 소개합니다. 앤써북에서 만든 40개의 엔트리 게임 인공지능 게임 만들기입니다. 40개의 엔트리 게임 + 인공지능 게임은 학교나 학원 또는 방과후 수업에서 사용할 교재로...,2023.10.20.
55,인공지능 프로그래밍을 위한 깃허브 코파일럿 학생 인증 무료...,"요즘은 프로그래밍을 도와주는 인공지능 코딩 툴 등이 상당히 잘 되어 있습니다. 모두 알고 계실 ChatGPT부터, 아마존의 코드 위스퍼러... 이제 나도 인공지능 프로그래밍을 할 수 있게 되는 것이죠. 인공지능 프로그래밍 하기 코파일럿은 비주얼 스튜디오, VS Code의 확장...",2023.09.12.
56,모든 도로 안전은 ‘인공지능 도로 분석장치’로 통한다!,[이 주의 조달청 혁신제품] 재난 예방 혁신제품 해외수출 ② 인공지능 도로 분석장치 ‘조달청 혁신제품’을 아시나요? 공공성과 기술성이... 모든 도로 안전은 ‘인공지능 도로 분석장치’로 통한다! 지겹게 내리던 폭우가 지나가고 맑은 하늘에 햇빛이 쨍~한 요즘입니다....,2023.08.18.
57,인공지능 성우 해외 사이트 소개(부분 무료 가능),"국내에도 인공지능 성우를 활용할 수 있는 웹사이트들이 있다. 그냥 구글링만 해도 많이 보이는데, 대부분 바로 유료 사용이 필요하다. 하지만 오늘 소개하는 웹사이트는 부분적으로 무료 사용이 가능하다. 특히 외국어의 경우가 더 특화되었다고 할 수 있다. 위 이미지를 클릭하면...",2023.10.06.
58,"인공지능을 활용한 스마트한 일상, 초거대AI 총정리!","인공지능은 어느새 우리의 일상 깊숙이 침투해 함께 공존하고 있습니다. 과거 간단한 명령만 실행하던 인공지능이 이제는 의료, 법률, 문화예술 분야로 내용이 확대되면서 거의 모든 영역에서 인공지능을 활용하는 사람들이 늘어나고 있습니다. 이러한 의 확대를...",2023.09.19.
